"","Ticker","Symbol","Stock","Sector","Year_as","Year","Company_Name","CASH","ST_INVESTMENTS","RECEIVABLES","INVENTORY","OTHER_CURRENT_ASSETS","TOTAL_CURRENT_ASSETS","PP&E","DEPRECIATION","LT_INVESTMENTS","INTANGIBLES_GW","OTHER_NON_CURRENT_ASSETS","NON_CURRENT_ASSETS","TOTAL_ASSETS","PAYABLES","ST_DEBT","CPLTD_DEBT","CPLTD_LEASES","CURRENT_LIAB","LT_DEBT","LT_LEASES","OTHER_NON_CURRENT_LIAB","NON_CURRENT_LIAB","TOTAL_LIAB","RETAINED_EAR","TOTAL_EQUITY"
"1","NASDAQ:AAL","AAL","NASDAQ","Industrials",2018-12-31,2018,"American Airlines Group",275,4485,1706,1522,649,8637,59414,-17443,189,6228,3555,51943,60580,1773,0,3213,1735,18096,20566,8515,13572,42653,60749,758,-169
"2","NASDAQ:AAL","AAL","NASDAQ","Industrials",2020-12-31,2020,"American Airlines Group",245,6619,1342,1614,1275,11095,55049,-16757,161,6120,6340,50913,62008,1196,0,2697,1751,16569,29324,7249,15733,52306,68875,-6664,-6867
"3","NASDAQ:AAL","AAL","NASDAQ","Industrials",2019-12-31,2019,"American Airlines Group",280,3546,1750,1851,779,8206,60717,-18659,204,6175,3352,51789,59995,2062,0,2749,1820,18311,20896,7979,12927,41802,60113,2264,-118
"4","NASDAQ:AAL","AAL","NASDAQ","Industrials",2015-12-31,2015,"American Airlines Group",390,5864,1425,863,1443,9985,39587,-13144,0,6340,5647,38430,48415,1563,0,2231,0,13605,18330,0,10845,29175,42780,-1230,5635
"5","NASDAQ:AAL","AAL","NASDAQ","Industrials",2017-12-31,2017,"American Airlines Group",295,4771,1752,1359,969,9146,48585,-15646,0,6294,4406,43639,52785,1688,0,2476,78,15358,21818,693,15696,38207,53565,-1345,-780
"6","NASDAQ:AAL","AAL","NASDAQ","Industrials",2016-12-31,2016,"American Airlines Group",322,6037,1594,1094,1277,10324,44144,-14194,0,6264,4736,40950,51274,1592,0,1855,0,13872,22489,0,11128,33617,47489,1640,3785
"7","NASDAQ:AAPL","AAPL","NASDAQ","Information Technology",2017-12-31,2017,"Apple Inc.",20289,53892,35673,4855,13936,128645,75076,-41293,194714,0,18177,246674,375319,44242,11977,6496,0,100814,97207,0,43251,140458,241272,98330,134047
"8","NASDAQ:AAPL","AAPL","NASDAQ","Information Technology",2019-12-31,2019,"Apple Inc.",48844,51713,45804,4106,12352,162819,95957,-58579,105341,0,32978,175697,338516,46236,5980,10260,0,105718,91807,0,50503,142310,248028,45898,90488
"9","NASDAQ:AAPL","AAPL","NASDAQ","Information Technology",2020-12-31,2020,"Apple Inc.",38016,52927,37445,4061,11264,143713,112096,-66760,100887,0,33952,180175,323888,42296,4996,8773,1460,105392,98667,8382,46108,153157,258549,14966,65339
"10","NASDAQ:AAPL","AAPL","NASDAQ","Information Technology",2015-12-31,2015,"Apple Inc.",21120,20481,30343,2349,15085,89378,49257,-26786,164065,9009,5422,200967,290345,35490,8499,2513,0,80610,53329,0,37051,90380,170990,92284,119355
"11","NASDAQ:AAPL","AAPL","NASDAQ","Information Technology",2016-12-31,2016,"Apple Inc.",20484,46671,29299,2132,8283,106869,61245,-34235,170430,8620,8757,214817,321686,37294,8105,3500,0,79006,75427,0,39004,114431,193437,96364,128249
"12","NASDAQ:AAPL","AAPL","NASDAQ","Information Technology",2018-12-31,2018,"Apple Inc.",25913,40388,48995,3956,12087,131339,90403,-49099,170799,0,22283,234386,365725,55888,11964,8784,0,115929,93735,0,48914,142649,258578,70400,107147
"13","NASDAQ:ABMD","ABMD","NASDAQ","Health Care",2016-12-31,2016,"Abiomed",48.231,163.822,42.821,26.74,6.77800000000002,288.392,42.266,-19.082,5.4,33.003,73.952,135.539,423.931,9.381,0,0,0,46.541,0,0,8.615,8.615,55.156,-99.075,368.775
