"","Ticker","CP","RC","TERM_LOANS","SR_BONDS_NOTES","SUB_BONDS_NOTES","CAPITAL_LEASES_TOTAL","OTHER_DEBT","TOTAL_PRINCIPAL","SR_DEBT","SR_DEBT_PCT","TOTAL_SUB_DEBT","CONVERT","ST_DEBT","ST_DEBT_PCT","LT_DEBT_CAPITAL_LEASES","SR_DEBT_EBITDA","SR_DEBT_EBITDA_CAPEX","TOTAL_SUB_DEBT_EBITDA","Year_as","Year"
"1","NYSE:MMM",0,0,12,18711,0,980,72,19775,19775,100,0,0,12,0.06,18691,"2.10","2.49",0,2020-12-31,2020
"2","NYSE:ABT",0,0,790,17900,0,1143,0,19833,19833,99.71,0,0,213,1.07,19429,"2.15","2.82",0,2020-12-31,2020
"3","NYSE:ABBV",0,0,3000,81948,0,1036,34,86018,86018,98.76,0,0,34,0.04,78406,"3.83","3.97",0,2020-12-31,2020
"4","NASDAQ:ABMD",0,0,0,0,0,12.22,0,12.22,12.22,100,0,0,0,0,8.55,"0.04","0.05",0,2020-12-31,2020
"5","NYSE:ACN",0,0,0,0,0,3423.64,61.87,3485.51,3485.51,100,0,0,0,0,2721.64,"0.43","0.46",0,2020-12-31,2020
"6","NASDAQ:ATVI",0,0,0,3650,0,290,0,3940,3940,101.16,0,0,0,0,3829,"1.26","1.30",0,2020-12-31,2020
"7","NASDAQ:ADBE",0,0,0,4150,0,591,0,4741,4741,100.7,0,0,0,0,4616,"0.96","1.05",0,2020-12-31,2020
"8","NASDAQ:AMD",0,0,0,338,0,242,0,580,580,101.4,0,26,0,0,531,"0.33","0.39",0,2020-12-31,2020
"9","NYSE:AAP",0,0,0,1032.98,0,2477.09,0,3510.07,3510.07,100,0,0,0,0,3047.48,"2.04","2.42",0,2020-12-31,2020
"10","NYSE:AES",0,70,6950,13107,0,391,36,20554,20554,101.8,0,0,0,0,18744,"5.94","13.17",0,2020-12-31,2020
"11","NYSE:AFL",0,0,288,6593,864,154,964,8863,7999,90.25,864,0,964,10.88,7843,"1.78","1.78",0.19,2020-12-31,2020
"12","NYSE:A",75,0,0,2284,0,178,0,2537,2537,100,0,0,75,2.96,2411,"1.80","1.96",0,2020-12-31,2020
"13","NYSE:APD",0,0,346.2,7601.9,0,415.7,0.6,8364.4,8364.4,100.58,0,0,7.7,0.09,7767.6,"2.38","8.34",0,2020-12-31,2020
"14","NASDAQ:AKAM",0,0,0,1906.71,0,870.21,0,2776.91,2776.91,100,0,1906.71,0,0,2622.11,"2.19","3.87",0,2020-12-31,2020
"15","NYSE:ALK",0,400,425,2740,0,1558,0,5123,5123,100.89,0,0,0,0,3640,"NM","NM",0,2020-12-31,2020
"16","NYSE:ALB",325,231.6,0,2976.61,0,198.24,0,3731.45,3731.45,100.55,0,0,0,0,2884.15,"4.46","NM",0,2020-12-31,2020
"17","NYSE:ARE",100,0,0,7444.55,0,345.75,0,7890.3,7890.3,99.76,0,0,0,0,7886.71,"6.57","6.57",0,2020-12-31,2020
"18","NASDAQ:ALXN",0,0,2383.9,0,0,278.1,187,2849,2849,97.19,0,0,0,0,2709.4,"0.89","0.92",0,2020-12-31,2020
"19","NASDAQ:ALGN",0,0,0,0,0,86.18,0,86.18,86.18,100,0,0,0,0,64.45,"0.17","0.24",0,2020-12-31,2020
"20","NYSE:ALLE",0,0,238.8,1200,0,93.9,0.6,1533.3,1533.3,100.64,0,0,0,0,1495.7,"2.24","2.40",0,2020-12-31,2020
"21","NASDAQ:LNT",389,0,300,6531,0,15,2,7237,7237,100.78,0,0,389,5.42,6782,"5.43","NM",0,2020-12-31,2020
"22","NYSE:ALL",0,0,0,6091,1800,511,0,8402,6602,79.2,1800,0,0,0,8216,"0.70","0.73",0.19,2020-12-31,2020
"23","NASDAQ:GOOG",0,0,0,13000,0,12347,0,25347,25347,90.94,0,0,0,0,25078,"0.44","0.71",0,2020-12-31,2020
"24","NYSE:MO",0,0,0,31579.78,0,0,0,31579.78,31579.78,107.16,0,0,0,0,27971,"2.66","2.72",0,2020-12-31,2020
"25","NASDAQ:AMZN",725,338,0,32250,0,67533,586,101432,101432,100.2,0,0,725,0.72,84389,"1.86","7.11",0,2020-12-31,2020
"26","NYSE:AMCR",1976.6,22,612,3586.7,0,582.9,0,6780.2,6780.2,99.94,0,0,195.2,2.88,6494.1,"3.51","4.42",0,2020-12-31,2020
"27","NYSE:AEE",490,0,0,10932,0,297,0,11719,11719,100.88,0,0,490,4.22,11110,"4.73","NM",0,2020-12-31,2020
"28","NASDAQ:AAL",0,2843,10135,19792,0,9000,0,41770,41770,101.83,0,1000,0,0,36573,"NM","NM",0,2020-12-31,2020
"29","NASDAQ:AEP",1852.3,0,0,27539.5,1624.1,1168.8,2250.2,34434.9,32810.8,94.5,1624.1,0,2479.3,7.14,29855.8,"5.50","NM",0.27,2020-12-31,2020
"30","NYSE:AXP",0,0,0,41747,924,1121,2206,45998,45074,96.89,924,0,2466,5.3,43915,"0.00","0.00",0,2020-12-31,2020
"31","NYSE:AIG",0,0,4,27504,2672,1044,11794,43018,40346,104.58,2672,0,0,0,36449,"5.67","5.67",0.38,2020-12-31,2020
"32","NYSE:AMT",0,2295,1777.2,22595,0,7452.2,2592.4,36711.8,36711.8,100,0,0,0,0,35382.1,"5.84","5.84",0,2020-12-31,2020
"33","NYSE:AWK",786,0,500,9707,0,95,5,11093,11093,100.5,0,0,1282,11.61,9414,"5.84","140.42",0,2020-12-31,2020
"34","NYSE:AMP",0,0,200,4713,0,298,0,5211,5211,87.85,0,0,200,3.37,4925,"1.76","1.85",0,2020-12-31,2020
"35","NYSE:ABC",0,0,548.83,3220.69,0,478.09,350,4597.61,4597.61,100,0,0,0,0,4003.77,"1.76","2.05",0,2020-12-31,2020
"36","NYSE:AME",0,72.15,0,2347.59,0,173.12,0,2592.85,2592.85,100.23,0,0,0,0,2409.61,"1.92","2.03",0,2020-12-31,2020
"37","NASDAQ:AMGN",0,0,0,33603,0,459,5,34067,34067,101.86,0,0,0,0,33201,"2.63","2.76",0,2020-12-31,2020
"38","NYSE:APH",0,0,6.7,3895.94,0,229.1,0,4131.74,4131.74,100.88,0,0,0,0,3797.3,"2.02","2.33",0,2020-12-31,2020
"39","NASDAQ:ADI",0,0,925,4250,0,328.42,0,5503.42,5503.42,96.75,0,0,0,0,5433.59,"2.27","2.43",0,2020-12-31,2020
"40","NASDAQ:ANSS",0,0,800,0,0,144.53,0,944.53,944.53,100.2,0,0,0,0,919.06,"1.60","1.70",0,2020-12-31,2020
"41","NYSE:ANTM",250,0,0,19808,25,957,1199,22239,22214,105.82,25,1032,0,0,20182,"2.34","2.63",0,2020-12-31,2020
"42","NYSE:AON",0,0,0,7160,0,1196,48,8925,8404,94.16,0,0,48,0.54,8243,"2.34","2.44",0,2020-12-31,2020
"43","NYSE:AOS",0,0,0,122.7,0,45.5,0,168.2,168.2,105.99,0,0,0,0,140.8,"0.31","0.35",0,2020-12-31,2020
"44","NASDAQ:APA",0,774,0,8052,0,299,0,9125,9125,101.02,0,0,0,0,8915,"4.51","12.66",0,2020-12-31,2020
"45","NASDAQ:AAPL",4996,0,0,106060.69,0,9842,0,120898.69,120898.69,98.87,0,0,4996,4.09,107049,"1.37","1.50",0,2020-12-31,2020
"46","NASDAQ:AMAT",0,0,0,5500,0,259,0,5759,5759,100.91,0,0,0,0,5643,"1.17","1.28",0,2020-12-31,2020
"47","NYSE:APTV",0,0,321,3763.27,0,418,10,4512.27,4512.27,100.25,0,0,0,0,4311,"2.68","4.10",0,2020-12-31,2020
"48","NYSE:ADM",1700,0,0,7887,0,1124,342,11053,11053,99.86,0,330,2042,18.45,8748,"3.46","4.65",0,2020-12-31,2020
"49","NYSE:ANET",0,0,0,0,0,90.17,0,90.17,90.17,100,0,0,0,0,72.4,"0.12","0.12",0,2020-12-31,2020
"50","NYSE:AJG",0,203.6,0,4348,0,409.7,0,4961.3,4961.3,98.84,0,0,203.6,4.06,4597.8,"2.78","2.94",0,2020-12-31,2020
"51","NYSE:AIZ",0,0,0,1613.8,639.1,77.7,0,2330.6,1691.5,72.58,639.1,0,0,0,2257.6,"1.77","2.03",0.67,2020-12-31,2020
"52","NYSE:T",3950,0,965,168815.29,0,27775,0,201505.29,201505.29,110.12,0,0,0,0,175977,"3.56","4.93",0,2020-12-31,2020
"53","NYSE:ATO",0,0,200,4360,0,245.42,0,4805.42,4805.42,100.77,0,0,0,0,4732.85,"3.72","NM",0,2020-12-31,2020
"54","NASDAQ:ADSK",0,0,0,2100,0,459.8,0,2559.8,2559.8,100.6,0,0,0,0,2046.8,"4.52","4.99",0,2020-12-31,2020
"55","NASDAQ:ADP",0,0,0,2000,0,439.9,22,2461.9,2461.9,100.15,0,0,13.6,0.55,1347.2,"0.62","0.65",0,2020-12-31,2020
"56","NYSE:AZO",0,0,0,5550,0,2948.76,0,8498.76,8498.76,100.43,0,0,0,0,8170.79,"2.61","3.04",0,2020-12-31,2020
"57","NYSE:AVB",0,0,560.37,7069.45,0,181.48,0,7811.29,7811.29,100.85,0,0,0,0,7730.47,"5.43","5.54",0,2020-12-31,2020
