Identifier,Stock,Symbol,Company_Name,GICS_Sector,GICS_Sub-Industry,Region,States,Date_first_added,CIK,Founded,IPO Year,Country,Volume,Market Cap
NYSE:MMM,NYSE,MMM,3M Company,Industrials,Industrial Conglomerates,St. Paul, Minnesota,09/08/1976,66740,1902,0,United States,2457554,117813147406.00
NYSE:ABT,NYSE,ABT,Abbott Laboratories,Health Care,Health Care Equipment,North Chicago, Illinois,31/03/1964,1800,1888,0,United States,10357311,205560322922.00
NYSE:ABBV,NYSE,ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,North Chicago, Illinois,31/12/2012,1551152,2013,2012,United States,26404217,198382092780.00
NASDAQ:ABMD,NASDAQ,ABMD,Abiomed,Health Care,Health Care Equipment,Danvers, Massachusetts,31/05/2018,815094,1981,0,United States,537619,12947855597.00
NYSE:ACN,NYSE,ACN,Accenture,Information Technology,IT Consulting & Other Services,Dublin, Ireland,06/07/2011,1467373,1989,2001,Ireland,7165595,178012999760.00
NASDAQ:ATVI,NASDAQ,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,Santa Monica, California,31/08/2015,718877,2008,0,United States,7742041,75564879813.00
NASDAQ:ADBE,NASDAQ,ADBE,Adobe Inc.,Information Technology,Application Software,San Jose, California,05/05/1997,796343,1982,1986,United States,2955635,238177840000.00
NASDAQ:AMD,NASDAQ,AMD,Advanced Micro Devices,Information Technology,Semiconductors,Santa Clara, California,20/03/2017,2488,1969,0,United States,35832003,95281944938.00
NYSE:AAP,NYSE,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,Raleigh, North Carolina,09/07/2015,1158449,1932,0,United States,1011625,12310835040.00
NYSE:AES,NYSE,AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,Arlington, Virginia,02/10/1998,874761,1981,0,United States,5363874,16882960844.00
NYSE:AFL,NYSE,AFL,Aflac,Financials,Life & Health Insurance,Columbus, Georgia,28/05/1999,4977,1955,0,United States,6550225,38618692236.00
NYSE:A,NYSE,A,Agilent Technologies,Health Care,Health Care Equipment,Santa Clara, California,05/06/2000,1090872,1999,1999,United States,3699620,41674620000.00
NYSE:APD,NYSE,APD,Air Products & Chemicals,Materials,Industrial Gases,Allentown, Pennsylvania,30/04/1985,2969,1940,0,United States,1155306,66013616876.00
NASDAQ:AKAM,NASDAQ,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,Cambridge, Massachusetts,12/07/2007,1086222,1998,1999,United States,1477249,18693516353.00
NYSE:ALK,NYSE,ALK,Alaska Air Group,Industrials,Airlines,Seattle, Washington,13/05/2016,766421,1985,0,United States,855518,8767252681.00
NYSE:ALB,NYSE,ALB,Albemarle Corporation,Materials,Specialty Chemicals,Charlotte, North Carolina,01/07/2016,915913,1994,0,United States,2357364,19674630991.00
NYSE:ARE,NYSE,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Pasadena, California,20/03/2017,1035443,1994,0,United States,1796203,25982704181.00
NASDAQ:ALXN,NASDAQ,ALXN,Alexion Pharmaceuticals,Health Care,Pharmaceuticals,Boston, Massachusetts,25/05/2012,899866,1992,1996,United States,2862269,39127034287.00
NASDAQ:ALGN,NASDAQ,ALGN,Align Technology,Health Care,Health Care Supplies,San Jose, California,19/06/2017,1097149,1997,2001,United States,878168,47463743588.00
NYSE:ALLE,NYSE,ALLE,Allegion,Industrials,Building Products,Dublin, Ireland,02/12/2013,1579241,1908,2013,United States,813264,12613129637.00
NASDAQ:LNT,NASDAQ,LNT,Alliant Energy,Utilities,Electric Utilities,Madison, Wisconsin,01/07/2016,352541,1917,0,United States,7705907,14195135826.00
NYSE:ALL,NYSE,ALL,Allstate Corp,Financials,Property & Casualty Insurance,Northfield Township, Illinois,13/07/1995,899051,1931,0,United States,3993780,40799862629.00
NASDAQ:GOOGL,NASDAQ,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,Mountain View, California,03/04/2014,1652044,1998,0,United States,1760773,1583382590445.00
NASDAQ:GOOG,NASDAQ,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,Mountain View, California,03/04/2006,1652044,1998,2004,United States,1947609,1610075214320.00
NYSE:MO,NYSE,MO,Altria Group Inc,Consumer Staples,Tobacco,Richmond, Virginia,04/03/1957,764180,1985,0,United States,8094873,91051388321.00
NASDAQ:AMZN,NASDAQ,AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,Seattle, Washington,18/11/2005,1018724,1994,1997,United States,2555349,1629021142891.00
NYSE:AMCR,NYSE,AMCR,Amcor plc,Materials,Paper Packaging,Warmley, United Kingdom,07/06/2019,1748790,2019,2019,Switzerland,15849842,18316500222.00
NYSE:AEE,NYSE,AEE,Ameren Corp,Utilities,Multi-Utilities,St. Louis, Missouri,19/09/1991,1002910,1902,0,United States,2156056,21382087632.00
NASDAQ:AAL,NASDAQ,AAL,American Airlines Group,Industrials,Airlines,Fort Worth, Texas,23/03/2015,6201,1934,0,United States,36232920,15668989695.00
NASDAQ:AEP,NASDAQ,AEP,American Electric Power,Utilities,Electric Utilities,Columbus, Ohio,04/03/1957,4904,1906,0,United States,2452683,42753646720.00
NYSE:AXP,NYSE,AXP,American Express,Financials,Consumer Finance,New York, New York,30/06/1976,4962,1850,0,United States,2827270,128319598697.00
NYSE:AIG,NYSE,AIG,American International Group,Financials,Property & Casualty Insurance,New York, New York,31/03/1980,5272,1919,0,United States,6287715,45411021439.00
NYSE:AMT,NYSE,AMT,American Tower Corp.,Real Estate,Specialized REITs,Boston, Massachusetts,19/11/2007,1053507,1995,0,United States,3148508,115542821651.00
NYSE:AWK,NYSE,AWK,American Water Works,Utilities,Water Utilities,Camden, New Jersey,04/03/2016,1410636,1886,2008,United States,1029451,27841004050.00
NYSE:AMP,NYSE,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,Minneapolis, Minnesota,03/10/2005,820027,1894,0,United States,1849857,30170040004.00
NYSE:ABC,NYSE,ABC,AmerisourceBergen,Health Care,Health Care Distributors,Chesterbrook, Pennsylvania,30/08/2001,1140859,1985,0,United States,2019432,23624286562.00
NYSE:AME,NYSE,AME,Ametek,Industrials,Electrical Components & Equipment,Berwyn, Pennsylvania,23/09/2013,1037868,1930,0,United States,853576,31030918871.00
NASDAQ:AMGN,NASDAQ,AMGN,Amgen Inc.,Health Care,Biotechnology,Thousand Oaks, California,02/01/1992,318154,1980,1983,United States,3701063,135198298446.00
