"","Ticker","Symbol","Stock","Sector","Year","Year_as","Company_Name","COMMERCIAL","REVOLVING","TERM_LOANS","SR_BONDS_NOTES","SUB_BONDS_NOTES","CAPITAL_LEASES_TOTAL","OTHER_DEBT","TOTAL_PRINCIPAL","SR_DEBT","SR_DEBT_PCT","TOTAL_SUB_DEBT","CONVERT","ST_DEBT","ST_DEBT_PCT","LT_DEBT_CAPITAL_LEASES","SR_DEBT_EBITDA","SR_DEBT_EBITDA_CAPEX","TOTAL_SUB_DEBT_EBITDA"
"1","NASDAQ:AAL","AAL","NASDAQ","Industrials",2018,2018-12-31,"American Airlines Group",0,0,10305,14022,0,10250,0,34577,34577,101.6103,0,0,0,0,29081,"3.47508","5.57244",0
"2","NASDAQ:AAL","AAL","NASDAQ","Industrials",2020,2020-12-31,"American Airlines Group",0,2843,10135,19792,0,9000,0,41770,41770,101.83,0,1000,0,0,36573,"NM","NM",0
"3","NASDAQ:AAL","AAL","NASDAQ","Industrials",2019,2019-12-31,"American Airlines Group",0,0,9919,15769,0,9799,0,35487,35487,106.1087,0,0,0,0,28875,"3.36178","5.64361",0
"4","NASDAQ:AAL","AAL","NASDAQ","Industrials",2015,2015-12-31,"American Airlines Group",0,0,8361,11512,0,11,923,20807,20807,101.1964,0,0,0,0,18330,"2.33971","7.58826",0
"5","NASDAQ:AAL","AAL","NASDAQ","Industrials",2017,2017-12-31,"American Airlines Group",0,0,10040,14522,0,771,2,25335,25335,101.0771,0,0,0,0,22511,"3.55829","22.04961",0
"6","NASDAQ:AAL","AAL","NASDAQ","Industrials",2016,2016-12-31,"American Airlines Group",0,0,10171,13553,0,0,849,24573,24573,100.9406,0,0,0,0,22489,"3.20044","12.62096",0
"7","NASDAQ:AAPL","AAPL","NASDAQ","Information Technology",2017,2017-12-31,"Apple Inc.",11977,0,0,104021,0,0,0,115998,115998,100.2748,0,0,11977,10.3535,97207,"1.62233","1.9644",0
"8","NASDAQ:AAPL","AAPL","NASDAQ","Information Technology",2019,2019-12-31,"Apple Inc.",5980,0,0,101679,0,0,0,107659,107659,99.6408,0,0,5980,5.5346,91807,"1.40773","1.63164",0
"9","NASDAQ:AAPL","AAPL","NASDAQ","Information Technology",2020,2020-12-31,"Apple Inc.",4996,0,0,106060.69,0,9842,0,120898.69,120898.69,98.87,0,0,4996,4.09,107049,"1.37","1.50",0
"10","NASDAQ:AAPL","AAPL","NASDAQ","Information Technology",2015,2015-12-31,"Apple Inc.",8499,0,0,55701,0,0,0,64200,64200,99.7808,0,0,8499,13.2093,53329,"0.7783","0.90118",0
"11","NASDAQ:AAPL","AAPL","NASDAQ","Information Technology",2016,2016-12-31,"Apple Inc.",8105,0,0,78384,0,0,0,86489,86489,99.376,0,0,8105,9.3126,75427,"1.22629","1.49648",0
"12","NASDAQ:AAPL","AAPL","NASDAQ","Information Technology",2018,2018-12-31,"Apple Inc.",11964,0,0,104521,0,0,0,116485,116485,101.7487,0,0,11964,10.4504,93735,"1.424","1.70081",0
"13","NASDAQ:ABMD","ABMD","NASDAQ","Health Care",2016,2016-12-31,"Abiomed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0
"14","NASDAQ:ABMD","ABMD","NASDAQ","Health Care",2020,2020-12-31,"Abiomed",0,0,0,0,0,12.22,0,12.22,12.22,100,0,0,0,0,8.55,"0.04","0.05",0
"15","NASDAQ:ABMD","ABMD","NASDAQ","Health Care",2017,2017-12-31,"Abiomed",0,0,0,0,0,16.338,0,16.338,16.338,100,0,0,0,0,15.539,"0.16683","0.34385",0
"16","NASDAQ:ABMD","ABMD","NASDAQ","Health Care",2018,2018-12-31,"Abiomed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0
"17","NASDAQ:ABMD","ABMD","NASDAQ","Health Care",2019,2019-12-31,"Abiomed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0
"18","NASDAQ:ABMD","ABMD","NASDAQ","Health Care",2015,2015-12-31,"Abiomed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0",0
"19","NASDAQ:ADBE","ADBE","NASDAQ","Information Technology",2020,2020-12-31,"Adobe Inc.",0,0,0,4150,0,591,0,4741,4741,100.7,0,0,0,0,4616,"0.96","1.05",0
"20","NASDAQ:ADBE","ADBE","NASDAQ","Information Technology",2016,2016-12-31,"Adobe Inc.",0,0,0,1900,0,0,0,1900,1900,100.4122,0,0,0,0,1892.2,"1.04102","1.17188",0
"21","NASDAQ:ADBE","ADBE","NASDAQ","Information Technology",2017,2017-12-31,"Adobe Inc.",0,0,0,1900,0,0,0,1900,1900,100.9307,0,0,0,0,1882.479,"0.7618","0.82039",0
"22","NASDAQ:ADBE","ADBE","NASDAQ","Information Technology",2018,2018-12-31,"Adobe Inc.",0,0,2248.427,1900,0,0,0,4148.427,4148.427,100.3357,0,0,0,0,4134.544,"1.30208","1.42118",0
"23","NASDAQ:ADBE","ADBE","NASDAQ","Information Technology",2019,2019-12-31,"Adobe Inc.",0,0,2250,1900,0,0,0,4150,4150,100.2899,0,0,0,0,989,"1.0768","1.19977",0
"24","NASDAQ:ADBE","ADBE","NASDAQ","Information Technology",2015,2015-12-31,"Adobe Inc.",0,0,0,1900,0,0,0,1900,1900,99.6208,0,0,0,0,1907.231,"1.52909","1.79647",0
"25","NASDAQ:ADI","ADI","NASDAQ","Information Technology",2020,2020-12-31,"Analog Devices, Inc.",0,0,925,4250,0,328.42,0,5503.42,5503.42,96.75,0,0,0,0,5433.59,"2.27","2.43",0
"26","NASDAQ:ADI","ADI","NASDAQ","Information Technology",2018,2018-12-31,"Analog Devices, Inc.",0,0,1775,4600,0,0,0,6375,6375,100.6683,0,0,0,0,6265.674,"2.31069","2.54589",0
"27","NASDAQ:ADI","ADI","NASDAQ","Information Technology",2019,2019-12-31,"Analog Devices, Inc.",0,0,925,4600,0,0,0,5525,5525,98.1224,0,0,0,0,5192.252,"2.11062","2.35875",0
"28","NASDAQ:ADI","ADI","NASDAQ","Information Technology",2016,2016-12-31,"Analog Devices, Inc.",0,0,0,1750,0,0,0,1750,1750,101.0289,0,0,0,0,1732.177,"1.39823","1.55668",0
"29","NASDAQ:ADI","ADI","NASDAQ","Information Technology",2017,2017-12-31,"Analog Devices, Inc.",0,0,4050,3850,0,0,0,7900,7900,100.623,0,0,0,0,7551.084,"3.58906","3.95586",0
"30","NASDAQ:ADI","ADI","NASDAQ","Information Technology",2015,2015-12-31,"Analog Devices, Inc.",0,0,0,875,0,0,0,875,875,96.9344,0,0,0,0,495.341,"0.8309","0.97317",0
"31","NASDAQ:ADP","ADP","NASDAQ","Information Technology",2019,2019-12-31,"Automatic Data Processing",0,0,0,2000,0,0,272.9,2272.9,2272.9,100.3842,0,0,262,11.5714,2002.2,"0.62673","0.65604",0
"32","NASDAQ:ADP","ADP","NASDAQ","Information Technology",2018,2018-12-31,"Automatic Data Processing",0,0,0,2000,0,0,13,2013,2013,100.5293,0,0,0,0,2002.4,"0.67082","0.72029",0
"33","NASDAQ:ADP","ADP","NASDAQ","Information Technology",2017,2017-12-31,"Automatic Data Processing",0,0,0,2000,0,0,20.3,2020.3,2020.3,100.8939,0,0,0,0,2002.4,"0.71825","0.78531",0
"34","NASDAQ:ADP","ADP","NASDAQ","Information Technology",2016,2016-12-31,"Automatic Data Processing",0,0,0,2000,0,0,22.3,2022.3,2022.3,100.7272,0,0,0,0,2007.7,"0.80018","0.85734",0
"35","NASDAQ:ADP","ADP","NASDAQ","Information Technology",2015,2015-12-31,"Automatic Data Processing",0,0,0,0,0,0,9.2,9.2,9.2,100,0,0,0,0,9.2,"0.00403","0.00433",0
"36","NASDAQ:ADP","ADP","NASDAQ","Information Technology",2020,2020-12-31,"Automatic Data Processing",0,0,0,2000,0,439.9,22,2461.9,2461.9,100.15,0,0,13.6,0.55,1347.2,"0.62","0.65",0
