"","Ticker","Total_Revenues","Cost_Of_Revenues","Cost_Of_Goods_Sold","Gross_Profit","Selling_General_._Admin_Exp","R_._D_Exp","Depreciation_._Amort","Amort_of_Goodwill_and_Intangibles","Net_Interest_Exp","EBT_Excl_Unusual_Items","Total_Unusual_Items","EBT_Incl_Unusual_Items","Income_Tax_Expense","Earnings_from_Cont_Ops","Earnings_of_Discontinued_Ops","Extraord_Item_._Account_Change","Pref_Dividends_and_Other_Adj","Merger.Restructuring_Costs","NI_to_Common_Incl_Extra_Items","NI_to_Common_Excl_Extra_Items","Basic_EPS","Basic_EPS_Excl_Extra_Items","Diluted_EPS_Excl_Extra_Itmes","Normalized_Diluted_EPS","EBITDA","EBITDA_.Incl_Equity_Inc_from_Affiliates.","EBIT","EBITDAR","Net_Rental_Expense","Normalized_Net_Income","Same_Store_Sales_Growth_.","Effective_Tax_Rate","Payout_Ratio","Interest_On_Long_Term_Debt","Total_Current_Taxes","Total_Deferred_Taxes","Year_as","Year"
"1","NYSE:MMM",32184,16499,16499,15685,6751,1862,0,0,-500,6567,139,6706,1318,5388,0,0,0,-250,5384,5384,9.32,9.32,9.25,7.04,8983,9427,7072,9432,449,4100.38,0,"19.65","62.93",1,1476,-158,2020-12-31,2020
"2","NYSE:ABT",34608,14997,14997,19611,9563,2363,0,2132,-500,5074,-106,4968,497,4471,24,0,22,-36,4473,4449,2.52,2.51,2.49,1.78,8880,9209,5553,9209,329,3171.25,0,"10","56.95",0,605,-108,2020-12-31,2020
"3","NYSE:ABBV",45804,14057,14057,31747,9867,6181,0,0,-2280,13461,-10063,3398,-1224,4622,0,0,60,-3112,4556,4556,2.73,2.73,2.72,5.03,22170,22481,15699,22481,311,8407.13,0,"NM","167.16",0,1101,-2325,2020-12-31,2020
"4","NASDAQ:ABMD",840.88,151.31,151.31,689.58,341.6,99.33,0,0,12.17,261.43,-4.61,256.83,53.82,203.01,0,0,0,0,203.01,203.01,4.49,4.49,4.43,3.57,269.07,272.77,248.64,272.77,3.7,163.4,0,"20.95","0",0,20.86,32.95,2020-12-31,2020
"5","NYSE:ACN",44327.04,30350.88,30350.88,13976.16,7462.51,0,0,0,36.26,6442.33,332,6774.33,1589.02,5185.31,0,0,0,0,5107.84,5107.84,8.03,8.03,7.89,6.1,7235.36,8139.02,6513.64,8139.02,903.65,3948.98,0,"23.46","39.84",0,1418.07,170.95,2020-12-31,2020
"6","NASDAQ:ATVI",8086,2260,2260,5826,1848,1150,0,0,-78,2738,-122,2616,419,2197,0,0,0,-94,2197,2197,2.85,2.85,2.82,2.2,3025,3120,2828,3120,95,1711.25,0,"16.02","14.38",0,516,-97,2020-12-31,2020
"7","NASDAQ:ADBE",12868,1722,1722,11146,4559,2188,0,162,-73,4162,14,4176,-1084,5260,0,0,0,0,5260,5260,10.94,10.94,10.83,5.36,4808,4927,4237,4927,119,2601.25,0,"NM","0",116,420,-1504,2020-12-31,2020
"8","NASDAQ:AMD",9763,5416,5416,4347,995,1983,0,0,-39,1334,-54,1280,-1210,2490,0,0,0,0,2490,2490,2.1,2.1,2.06,0.69,1681,1772,1369,1767,86,833.75,0,"NM","0",10,13,-1223,2020-12-31,2020
"9","NYSE:AAP",10106.32,5621.55,5621.55,4484.78,3657.52,0,0,27.34,-46.89,749.05,-98.03,651.02,157.99,493.02,0,0,0,-50.01,493.02,493.02,7.17,7.17,7.14,6.78,1050,1718.55,799.92,1718.55,668.55,468.15,2.4,"24.27","11.43",0,149.86,8.14,2020-12-31,2020
"10","NYSE:AES",9660,7149,7149,2511,167,0,0,0,-770,1505,-1140,365,216,149,3,0,0,0,46,43,0.07,0.06,0.06,1.25,3412,3338,2344,3461,49,834.63,0,"59.18","828.26",311,450,-234,2020-12-31,2020
