"","Ticker","Symbol","Stock","Sector","Year","Year_as","Company_Name","TOTAL_REVENUES","COGS","GROSS_PROFIT","SG_A","R_D","D_A","A_INTANGIBLES","NET_INTEREST_EXP","UNUSUAL_ITEMS","EBT","TAX_EXPENSE","E_CONT_OPER","E_DISC_OPER","EXTR_ITEMS","OTHER_ADJUSTMENTS","M_A_COST","NET_INCOME_INCL_EI","NET_INCOME_EXCL_EI","RENTAL_EXPENSE","INTEREST_LT","TAXES","DEFERRED_TAX","EBIT","EBITDA","CONSOLIDATED_EBITDA","EBITDAR"
"1","NASDAQ:AAL","AAL","NASDAQ","Industrials",2018,2018-12-31,"American Airlines Group",44541,32337,12204,1520,0,1839,0,-938,-906,1884,472,1412,0,0,0,-748,1412,1412,4034,1056,32,440,3757,5916,9950,9950
"2","NASDAQ:AAL","AAL","NASDAQ","Industrials",2020,2020-12-31,"American Airlines Group",17337,22873,-5536,513,0,2040,0,-1186,796,-11453,-2568,-8885,0,0,0,-1426,-8885,-8885,3586,1227,0,-2568,-11058,-8746,-5160,-5160
"3","NASDAQ:AAL","AAL","NASDAQ","Industrials",2019,2019-12-31,"American Airlines Group",45768,33208,12560,1602,0,1982,0,-968,-652,2256,570,1686,0,0,0,-473,1686,1686,4349,1095,10,560,3889,6207,10556,10556
"4","NASDAQ:AAL","AAL","NASDAQ","Industrials",2015,2015-12-31,"American Airlines Group",40990,26574,14416,1394,0,1364,0,-841,-1674,4616,-2994,7610,0,0,0,-1036,7610,7610,2800,932,20,-3014,7284,8893,8893,11693
"5","NASDAQ:AAL","AAL","NASDAQ","Industrials",2017,2017-12-31,"American Airlines Group",42622,29430,13192,1477,0,1702,0,-959,-756,3395,2113,1282,0,0,0,-505,1282,1282,3038,1053,24,2089,5103,7120,7120,10158
"6","NASDAQ:AAL","AAL","NASDAQ","Industrials",2016,2016-12-31,"American Airlines Group",40142,26800,13342,1323,0,1525,0,-928,-772,4152,1568,2584,0,0,0,-691,2584,2584,3200,991,12,1556,5860,7678,7678,10878
"7","NASDAQ:AAPL","AAPL","NASDAQ","Information Technology",2017,2017-12-31,"Apple Inc.",229234,141048,88186,15261,11581,0,0,2878,0,64089,15738,48351,0,0,0,0,48351,48351,1100,2200,9772,5966,61344,71501,71501,72601
"8","NASDAQ:AAPL","AAPL","NASDAQ","Information Technology",2019,2019-12-31,"Apple Inc.",260174,161782,98392,18245,16217,0,0,1385,-31,65737,10481,55256,0,0,0,0,55256,55256,1300,3200,10821,-340,63930,76477,76477,77777
"9","NASDAQ:AAPL","AAPL","NASDAQ","Information Technology",2020,2020-12-31,"Apple Inc.",274515,169559,104956,19916,18752,0,0,890,82,67091,9680,57411,0,0,0,0,57411,57411,10800,2800,9895,-215,66288,77344,88144,88144
"10","NASDAQ:AAPL","AAPL","NASDAQ","Information Technology",2015,2015-12-31,"Apple Inc.",233715,140089,93626,14329,8067,0,0,2188,0,72515,19121,53394,0,0,0,0,53394,53394,794,722,17739,1382,71230,82487,82487,83281
"11","NASDAQ:AAPL","AAPL","NASDAQ","Information Technology",2016,2016-12-31,"Apple Inc.",215639,131376,84263,14194,10045,0,0,2543,0,61372,15685,45687,0,0,0,0,45687,45687,939,1400,10747,4938,60024,70529,70529,71468
"12","NASDAQ:AAPL","AAPL","NASDAQ","Information Technology",2018,2018-12-31,"Apple Inc.",265595,163756,101839,16705,14236,0,0,2446,0,72903,13372,59531,0,0,0,0,59531,59531,1200,3000,45962,-32590,70898,81801,81801,83001
"13","NASDAQ:ABMD","ABMD","NASDAQ","Health Care",2016,2016-12-31,"Abiomed",329.54,50.42,279.12,164.26,48.71,0,0,0.4,-1.05,65.84,27.69,38.15,0,0,0,0,38.15,38.15,0,0,5.4,22.3,66.16,69.43,69.43,0
"14","NASDAQ:ABMD","ABMD","NASDAQ","Health Care",2020,2020-12-31,"Abiomed",840.88,151.31,689.58,341.6,99.33,0,0,12.17,-4.61,256.83,53.82,203.01,0,0,0,0,203.01,203.01,3.7,0,20.86,32.95,248.64,269.07,272.77,272.77
"15","NASDAQ:ABMD","ABMD","NASDAQ","Health Care",2017,2017-12-31,"Abiomed",445.3,70.63,374.68,218.15,64.8,0,0,1.55,-1.59,91.34,39.23,52.12,0,0,0,0,52.12,52.12,0,0,13.42,25.8,91.73,97.93,97.93,0
"16","NASDAQ:ABMD","ABMD","NASDAQ","Health Care",2018,2018-12-31,"Abiomed",593.75,98.58,495.17,262.73,73.96,0,0,3.69,-1.34,160.44,48.27,112.17,0,0,0,0,112.17,112.17,0,0,5.64,42.62,158.47,169.48,169.48,0
"17","NASDAQ:ABMD","ABMD","NASDAQ","Health Care",2019,2019-12-31,"Abiomed",769.43,129.57,639.87,321.55,94.42,0,0,8.17,31.08,263.36,4.34,259.02,0,0,0,0,259.02,259.02,0,0,12.09,-7.75,223.9,238.02,238.02,0
